AUTOPISTA;BANDA y/o RAMAL;PK;CONDICIONES METEOROLOGICAS;SUPERFICIE DE LA VIA;LESIONADOS;FALLECIDOS;TIPO DE SINIESTRO;MOTO;LVIANO;BUS;CAMION;FECHA_AÑO;FECHA_MES;FECHA_DIA;FECHA_HORA;FECHA_DIASEMANA
AU FRONDIZI;ASCENDENTE;1500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;4;17;Jueves
AU CAMPORA;DESCENDENTE;2500.0;BUENO;SECA;1;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;8;4;19;Jueves
AU PERITO MORENO;DESCENDENTE;5700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2022;8;4;22;Jueves
AU 25 DE MAYO;ASCENDENTE;9100.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;5;21;Viernes
AU 25 DE MAYO;ASCENDENTE;2800.0;BUENO;SECA;3;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;6;12;Sábado
AU PERITO MORENO;DESCENDENTE;1800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;5;0;0;2022;8;6;14;Sábado
AU 25 DE MAYO;DESCENDENTE;8700.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2022;8;7;21;Domingo
AU DELLEPIANE;ASCENDENTE;4400.0;BUENO;SECA;0;0;COLISION CON OBSTACULO FIJO;1;0;0;0;2022;8;9;11;Martes
AU 25 DE MAYO;ASCENDENTE;5500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;9;13;Martes
AV. LUGONES;DESCENDENTE;4500.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;1;0;2022;8;9;17;Martes
AU ILLIA;ASCENDENTE;6500.0;BUENO;OTRA;1;0;COLISION CON OBSTACULO FIJO;1;0;0;0;2022;8;10;12;Miércoles
AU 25 DE MAYO;ASCENDENTE;9200.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2022;8;10;16;Miércoles
AV. LUGONES;DESCENDENTE;8600.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;0;0;1;2022;8;11;8;Jueves
AU DELLEPIANE;DESCENDENTE;3600.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;12;19;Viernes
AU DELLEPIANE;DESCENDENTE;1600.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;1;0;0;2022;8;13;12;Sábado
AU DELLEPIANE;ASCENDENTE;3600.0;BUENO;SECA;1;0;OBSTACULO NO FIJO;1;0;0;0;2022;8;13;17;Sábado
AV. CANTILO;ASCENDENTE;9800.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;3;0;0;2022;8;13;21;Sábado
AV. LUGONES;DESCENDENTE;6000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;14;6;Domingo
AV. CANTILO;ASCENDENTE;10400.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;2;0;0;2022;8;14;12;Domingo
AU 25 DE MAYO;DESCENDENTE;2500.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;14;12;Domingo
AU FRONDIZI;ASCENDENTE;2000.0;BUENO;MOJADA/HUMEDA;2;0;COLISION CON OBSTACULO FIJO;0;1;0;0;2022;8;15;8;Lunes
AU ILLIA;ASCENDENTE;2400.0;BUENO;SECA;1;0;SINIESTRO DE UN SOLO VEHICULO / SIN COLISION;1;0;0;0;2022;8;15;9;Lunes
AU PERITO MORENO;DESCENDENTE;1000.0;BUENO;SECA;1;0;COLISION CON DOS O MAS VEHICULOS;1;1;0;0;2022;8;16;12;Martes
AU ILLIA;ASCENDENTE;3600.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;1;0;0;2022;8;16;15;Martes
AU FRONDIZI;DESCENDENTE;1800.0;BUENO;SECA;0;0;COLISION CON DOS O MAS VEHICULOS;0;0;1;0;2022;8;16;15;Martes
AU 25 DE MAYO;DESCENDENTE;7700.0;BUENO;SECA;0;0;OBSTACULO NO FIJO;0;3;0;0;2022;8;16;20;Martes
